,Unnamed: 0_x,date,journey,start_quadkey,end_quadkey,n_crisis,Unnamed: 0_y,quadkey,GID_0,NAME_0,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3
47,47,2020-03-19,031133032130_031133032113,031133032130,031133032113,10.190945676636826,257,031133032130,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
48,48,2020-03-19,031133032130_031133032120,031133032130,031133032120,2.264654594808184,257,031133032130,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
49,49,2020-03-19,031133032130_031133033012,031133032130,031133033012,15.852582163657287,257,031133032130,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
50,50,2020-03-19,031133032202_031133023313,031133032202,031133023313,18.483943000377735,163,031133032202,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
51,51,2020-03-19,031133032332_031133210110,031133032332,031133210110,3.0870105630727185,169,031133032332,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
52,52,2020-03-19,031133033000_031133033012,031133033000,031133033012,9.735435434900168,260,031133033000,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
53,53,2020-03-19,031133033003_031133033012,031133033003,031133033012,5.127257786622079,263,031133033003,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
54,54,2020-03-19,031133033010_031133033012,031133033010,031133033012,48.77823178249992,264,031133033010,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
55,55,2020-03-19,031133033012_031133032113,031133033012,031133032113,9.379633451896924,266,031133033012,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
56,56,2020-03-19,031133033012_031133032130,031133033012,031133032130,20.947848042569802,266,031133033012,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
57,57,2020-03-19,031133033012_031133032202,031133033012,031133032202,4.377162277551899,266,031133033012,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
58,58,2020-03-19,031133033012_031133033000,031133033012,031133033000,8.754324555103798,266,031133033012,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
59,59,2020-03-19,031133033012_031133033003,031133033012,031133033003,11.568214590672875,266,031133033012,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
60,60,2020-03-19,031133033012_031133033010,031133033012,031133033010,67.2207064052613,266,031133033012,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
61,61,2020-03-19,031133033012_031133033013,031133033012,031133033013,21.57315693936293,266,031133033012,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
62,62,2020-03-19,031133033012_031133033030,031133033012,031133033030,6.565743416327847,266,031133033012,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
63,63,2020-03-19,031133033012_031133033033,031133033012,031133033033,4.377162277551899,266,031133033012,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
64,64,2020-03-19,031133033012_031133033102,031133033012,031133033102,15.320067971431644,266,031133033012,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
65,65,2020-03-19,031133033012_031133033110,031133033012,031133033110,23.449083629742322,266,031133033012,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
66,66,2020-03-19,031133033012_031133033132,031133033012,031133033132,9.69228790029349,266,031133033012,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
67,67,2020-03-19,031133033012_031133033211,031133033012,031133033211,8.129015658310669,266,031133033012,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
68,68,2020-03-19,031133033012_031133033302,031133033012,031133033302,4.0645078291553345,266,031133033012,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
69,69,2020-03-19,031133033013_031133033012,031133033013,031133033012,14.145361330694392,267,031133033013,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
70,70,2020-03-19,031133033030_031133033012,031133033030,031133033012,2.189282312628308,269,031133033030,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
71,71,2020-03-19,031133033033_031133033012,031133033033,031133033012,4.675849743728082,270,031133033033,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
72,72,2020-03-19,031133033102_031133033012,031133033102,031133033012,11.308979460044998,271,031133033102,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
73,73,2020-03-19,031133033102_031133033110,031133033102,031133033110,2.609764490779616,271,031133033102,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
74,74,2020-03-19,031133033110_031133033012,031133033110,031133033012,15.597058918420393,273,031133033110,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
75,75,2020-03-19,031133033110_031133033102,031133033110,031133033102,2.556894904659081,273,031133033110,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
76,76,2020-03-19,031133033110_031133033111,031133033110,031133033111,6.136547771181794,273,031133033110,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
77,77,2020-03-19,031133033110_031133033132,031133033110,031133033132,2.8125843951249894,273,031133033110,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
78,78,2020-03-19,031133033111_031133033110,031133033111,031133033110,4.101546665582713,274,031133033111,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
79,79,2020-03-19,031133033132_031133033012,031133033132,031133033012,10.280899590354313,282,031133033132,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
80,80,2020-03-19,031133033132_031133033110,031133033132,031133033110,3.787699849077905,282,031133033132,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
81,81,2020-03-19,031133033132_031133122202,031133033132,031133122202,4.5993498167374565,282,031133033132,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
82,82,2020-03-19,031133033211_031133033012,031133033211,031133033012,8.338043784820009,286,031133033211,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
83,83,2020-03-19,031133033211_031133033213,031133033211,031133033213,2.6976024009711788,286,031133033211,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
84,84,2020-03-19,031133033211_031133033302,031133033211,031133033302,4.904731638129416,286,031133033211,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
85,85,2020-03-19,031133033213_031133033211,031133033213,031133033211,1.7850728113951828,288,031133033213,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
86,86,2020-03-19,031133033302_031133033012,031133033302,031133033012,2.712637594556546,292,031133033302,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
87,87,2020-03-19,031133033302_031133033211,031133033302,031133033211,2.9386907274362595,292,031133033302,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.20_1,Moray,GBR.3.20.1_1,Moray
88,88,2020-03-19,031133122033_031133122122,031133122033,031133122122,13.472365626586162,310,031133122033,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
89,89,2020-03-19,031133122122_031133122033,031133122122,031133122033,14.045918639902775,317,031133122122,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
90,90,2020-03-19,031133122202_031133033132,031133122202,031133033132,5.634884125119353,325,031133122202,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
91,91,2020-03-19,031133122232_031133300100,031133122232,031133300100,2.5559784660014517,336,031133122232,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
92,92,2020-03-19,031133122323_031133300100,031133122323,031133300100,5.117790351641147,349,031133122323,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
93,93,2020-03-19,031133123000_031133122111,031133123000,031133122111,3.004394980631359,354,031133123000,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.2_1,Aberdeenshire,GBR.3.2.1_1,Aberdeenshire
